concept,concept_text,beta,se,t_stat,p_value,r_squared,n_obs
housing_weak,Housing sector activity has softened,-62.973877647812266,21.60165677828609,-2.9152336922190796,0.0035542229394155854,0.05777451077382634,95
housing_strong,Residential investment has increased,-56.07864205614345,20.518696625612712,-2.733050889116544,0.006275063616596108,0.059575224562880114,95
consumer_spending,Consumer spending has been growing solidly,-50.66643010970073,19.313282538159868,-2.6233981721953374,0.008705746426504055,0.0526267377138262,95
strong_growth,Economic activity is expanding at a solid pace,-51.428899402234435,20.59409529058009,-2.4972643214756047,0.01251556282243641,0.0519868759850014,95
global_weakness,Global economic developments pose risks to the outlook,-54.86070612593096,23.015783677534237,-2.3836123459693717,0.017143650751982608,0.036920019024766715,95
low_uncertainty,The economic outlook remains positive,-43.79195700457714,19.008458609705613,-2.3038142073348973,0.021233075253546993,0.03461746488620099,95
high_uncertainty,Uncertainty about the economic outlook has increased,-49.77250716462871,21.727601603861313,-2.2907501744593572,0.02197786688053852,0.038777388533141166,95
labor_market_weak,Labor market conditions have softened and unemployment has risen,-31.621729884097387,15.120331129482329,-2.091338451076634,0.036497735298566564,0.028850999026639124,95
trade_tensions,Trade policy uncertainty is weighing on business investment,-69.11575815245548,36.5087137226253,-1.8931304640739188,0.05834052179061523,0.02666335635230932,95
labor_market_tight,Labor market conditions are strong and unemployment is low,-30.478911115053126,16.120803711141594,-1.890657045466548,0.0586701399327594,0.021955847437919118,95
inflation_expectations,Longer-term inflation expectations remain well anchored,-32.5978445496021,18.326596161067183,-1.7787178951895388,0.07528602381621605,0.021587071253353685,95
credit_conditions,Credit conditions have eased and lending has increased,-44.02022425430104,25.743774086893307,-1.709936705695093,0.08727757795463595,0.020436937917543085,95
dovish_overall,The Committee will support the economy with accommodative policy for as long as needed,-31.12592385803037,18.87847043442667,-1.648752422297376,0.09919836569151622,0.016126622348202613,95
recession_risk,Downside risks to economic activity have increased,-33.54011488543813,21.162398670717096,-1.5848919306037064,0.11299089024749677,0.01251035930202915,95
rates_low_extended,The Committee expects to maintain low rates for an extended period,82.50962904856215,56.130219633851596,1.4699680419351393,0.14157040958507117,0.04407289919156543,95
weak_growth,Economic activity has slowed and growth is moderate,-30.625421351657952,23.92535125482972,-1.2800406157245325,0.20053085193861242,0.015229663420707862,95
neutral_stance,The federal funds rate is at or near its neutral level,38.10710673962018,33.352986248568534,1.1425395751858856,0.2532298057489092,0.015621685064152624,95
rates_higher_soon,Economic conditions may soon warrant higher interest rates,-28.083962804955675,28.11089813398182,-0.9990418189807467,0.3177744335297298,0.006186649323507987,95
financial_accommodative,Financial conditions remain accommodative,-21.775892688277317,23.573717370306138,-0.9237360551249592,0.3556237551656386,0.005072438761625775,95
cautious_tone,The Committee will proceed carefully in adjusting policy,29.676490533588098,33.41972198369357,0.8879933396234744,0.3745443340076554,0.011201663946510565,95
confident_tone,The Committee is confident in its assessment,37.7886764120782,44.1143079313296,0.8566081660150224,0.3916614711793811,0.008561498560656355,95
disinflation,Inflation pressures are moderating and declining,-13.442027573738468,16.487944270855508,-0.8152640106564967,0.4149212046201253,0.0039439244473953305,95
gradual_tightening,The Committee expects gradual increases in the federal funds rate,24.126267258187404,30.517098442294575,0.7905819520754331,0.42918798204841324,0.008508532554730941,95
data_dependent,The Committee will assess incoming data in determining the pace of adjustments,-20.737701080567096,26.543038006046427,-0.7812858903281195,0.4346343668476058,0.005883645619150557,95
wage_pressures,Wage pressures have increased,-14.547364618904703,18.89057869060118,-0.7700857055343995,0.4412490547389072,0.004922107341027382,95
financial_stress,Financial conditions have tightened and market volatility has increased,-18.3140672238153,28.083687527011595,-0.6521247327723744,0.5143207100287877,0.003311913782628517,95
taper_hints,The Committee will assess the appropriate pace of purchases,-20.46766663306056,33.91541611595919,-0.6034915379802557,0.546181743177728,0.0026591262162768414,95
business_investment,Business fixed investment has slowed,-15.090566154184355,28.529858581919317,-0.5289393955758316,0.5968474920073934,0.0028773948489521084,95
high_inflation,Inflation is running above target and remains elevated,-9.109780522096926,18.29287111628512,-0.4979962119771892,0.6184867121136617,0.0020382849277628123,95
balance_sheet,The Committee is continuing to reduce its holdings of securities,9.692667812901682,20.231708036561017,0.4790830213339338,0.6318795679453102,0.0025875470610540185,95
asset_purchases,The Committee will continue its asset purchase program,-8.373989787353116,17.858836906359837,-0.4688989451698837,0.6391418703246325,0.002080194234941546,95
accommodative_stance,The stance of monetary policy remains accommodative,-7.811033240840737,20.330574436108538,-0.38420130554539517,0.7008292507534981,0.0007991913483388347,95
inflation_risk,Upside risks to inflation have increased,-6.876848977473544,18.410660513963354,-0.37352538070309194,0.7087574589318539,0.0008780090059052892,95
supply_constraints,Supply chain bottlenecks continue to constrain production,-19.489112919533444,54.29911954136416,-0.35892134318470786,0.719653932489683,0.0015113647766226146,95
low_inflation,Inflation is running below target and remains subdued,-5.6769454404295026,18.265570865788167,-0.3108003293268294,0.7559524193086262,0.0007433193564768681,95
patience,The Committee will be patient in determining future adjustments to policy,8.032581719937989,29.042293283643986,0.27658221206869266,0.7821009247743191,0.0007242571654675345,95
restrictive_stance,Monetary policy is restrictive and weighing on demand,-7.113425330188674,27.10988587459812,-0.26239230084158827,0.7930190078389584,0.0004331851965529987,95
oil_prices,Energy prices have declined significantly,-5.768364504736738,27.73476598015566,-0.207983168448727,0.8352421096211552,0.000573129498430136,95
hawkish_overall,The Committee is prepared to adjust policy to address inflation risks,2.013625950205713,17.565999826072872,0.11463201469562394,0.9087368029126236,9.02980958515931e-05,95
