concept,beta,se,p_value,r_squared,n_obs
data_dependent,-4.260095181833726,3.67327246199763,0.2461486725172417,0.017298506780006995,95
gradual_increases,-4.799917035754347,4.1843252783815785,0.25133263913274684,0.01835805143807201,95
patient,-3.9844102321903305,3.762237865992533,0.28957553006209524,0.014951004126045553,95
unemployment_threshold,-4.365667896620788,4.382280596079703,0.3191485490756897,0.01431645593411468,95
conditions_warrant,-5.866597531540377,6.206777077580548,0.3445607402572224,0.012950330188639225,95
inflation_threshold,-4.3206688825504385,5.275630207668276,0.41279422801826227,0.011029730859948517,95
considerable_time,-3.0985288037690637,3.9186605357364392,0.4291125345011526,0.008954697492580155,95
balanced_risks,-2.2952573498906332,3.1498848427096444,0.46619757281261065,0.007086905969476809,95
extended_period,-0.6263531960466131,4.686486506647037,0.8936786232834604,0.00035467343436990095,95
downside_risks,-1.4996500628357745,11.561615903788574,0.8967963589005236,0.00042836473674101594,95
